InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536001,21013,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-02-09 00:00:00,5.93,12444,France
536001,21093,CHOCOLATE HOT WATER BOTTLE,3,2010-12-13 00:00:00,6.76,14831,United Kingdom
536002,21075,CHOCOLATE HOT WATER BOTTLE,1,2010-12-04 00:00:00,6.76,14800,United Kingdom
536003,21049,PARTY BUNTING,1,2011-01-11 00:00:00,9.18,16021,Spain
536004,21037,FAIRY CAKE FLANNEL ASSORTED COLOUR,5,2010-12-13 00:00:00,4.91,14301,Belgium
536004,21089,JUMBO BAG RED RETROSPOT,1,2011-02-08 00:00:00,11.11,18201,United Kingdom
536005,21009,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2011-03-06 00:00:00,4.91,17518,United Kingdom
536006,21099,RETROSPOT TEA SET CERAMIC 11 PC,3,2010-12-30 00:00:00,4.72,12954,Portugal
536007,21053,PARTY BUNTING,9,2011-01-15 00:00:00,9.18,12905,Belgium
536008,21076,LUNCH BAG RED RETROSPOT,5,2010-12-24 00:00:00,2.76,13086,United Kingdom
536009,21050,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-06 00:00:00,2.76,16416,United Kingdom
536010,21086,LUNCH BAG RED RETROSPOT,1,2010-12-27 00:00:00,2.76,15856,United Kingdom
536011,21061,HANGING METAL LANTERN,5,2010-12-15 00:00:00,12.57,12647,Spain
536012,21013,LOVE BUILDING BLOCK WORD,8,2010-12-04 00:00:00,10.77,14199,Switzerland
536013,21001,RETROSPOT TEA SET CERAMIC 11 PC,1,2010-12-04 00:00:00,4.72,13943,United Kingdom
536014,21058,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-23 00:00:00,4.91,15079,France
536014,21036,PINK VINTAGE PAISLEY PICNIC BAG,7,2010-12-23 00:00:00,3.14,15791,United Kingdom
536015,21001,JUMBO BAG PINK POLKADOT,1,2010-12-08 00:00:00,8.11,14781,United Kingdom
536016,21016,SET OF 3 MONOCHROME HEART MUGS,5,2011-02-13 00:00:00,3.16,16461,United Kingdom
536017,21060,HEART OF WICKER SMALL,1,2011-01-01 00:00:00,13.06,18215,United Kingdom
536018,21033,PARTY BUNTING,13,2011-01-05 00:00:00,9.18,15257,United Kingdom
536019,21082,SET OF 3 MONOCHROME HEART MUGS,1,2011-02-11 00:00:00,3.16,17399,Switzerland
536020,21005,REGENCY CAKESTAND 3 TIER,1,2011-02-01 00:00:00,14.29,16564,United Kingdom
536020,21063,JUMBO BAG PINK POLKADOT,14,2010-12-05 00:00:00,8.11,13564,France
536021,21001,FAIRY CAKE FLANNEL ASSORTED COLOUR,6,2010-12-19 00:00:00,4.91,15466,United Kingdom
536021,21023,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,2011-01-11 00:00:00,4.91,13161,United Kingdom
536022,21001,LOVE BUILDING BLOCK WORD,2,2010-12-09 00:00:00,10.77,16109,Germany
536023,21072,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-29 00:00:00,5.93,15928,United Kingdom
536023,21005,JUMBO BAG RED RETROSPOT,3,2011-01-27 00:00:00,11.11,14028,United Kingdom
536023,21085,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-01 00:00:00,4.91,14601,United Kingdom
536024,21098,STRAWBERRY CERAMIC TRINKET POT,1,2010-12-01 00:00:00,1.34,13841,United Kingdom
536025,21088,CHOCOLATE HOT WATER BOTTLE,8,2010-12-13 00:00:00,6.76,14646,Switzerland
536026,21074,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2010-12-05 00:00:00,4.91,13824,United Kingdom
536027,21043,LUNCH BAG RED RETROSPOT,12,2010-12-21 00:00:00,2.76,15740,Spain
536027,21004,SET OF 3 MONOCHROME HEART MUGS,1,2010-12-05 00:00:00,3.16,15296,United Kingdom
536028,21051,JUMBO BAG RED RETROSPOT,3,2011-03-19 00:00:00,11.11,12548,Italy
536028,21012,LOVE BUILDING BLOCK WORD,1,2010-12-03 00:00:00,10.77,13321,Belgium
536028,21047,BLUE KALMIA CERAMIC MUG,2,2010-12-12 00:00:00,3.58,12380,United Kingdom
536029,21001,CHILLI LIGHTS,8,2010-12-02 00:00:00,0.8,15989,United Kingdom
536029,21028,PINK VINTAGE PAISLEY PICNIC BAG,3,2011-02-16 00:00:00,3.14,12500,United Kingdom
536030,21003,HANGING METAL LANTERN,1,2010-12-05 00:00:00,12.57,14332,United Kingdom
536031,21028,ASSORTED COLOUR BIRD ORNAMENT,3,2010-12-09 00:00:00,2.76,13362,United Kingdom
536031,21013,STRAWBERRY CERAMIC TRINKET POT,1,2010-12-23 00:00:00,1.34,17654,United Kingdom
536032,21086,JUMBO BAG RED RETROSPOT,4,2010-12-20 00:00:00,11.11,16230,United Kingdom
536033,21052,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,2010-12-15 00:00:00,4.91,12599,United Kingdom
C536034,21021,HANGING METAL LANTERN,2,2011-02-20 00:00:00,12.57,18105,United Kingdom
536034,21009,CHILLI LIGHTS,1,2011-01-19 00:00:00,0.8,17462,United Kingdom
536034,21084,HEART OF WICKER SMALL,4,2011-05-26 00:00:00,13.06,16069,United Kingdom
536035,21062,ASSORTED COLOUR BIRD ORNAMENT,12,2010-12-21 00:00:00,2.76,15093,Netherlands
536036,21026,HEART OF WICKER SMALL,2,2011-01-24 00:00:00,13.06,14646,Germany
536037,21014,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-23 00:00:00,5.93,15580,Belgium
536037,21010,PARTY BUNTING,2,2010-12-28 00:00:00,9.18,15081,United Kingdom
536038,21073,REGENCY CAKESTAND 3 TIER,2,2011-01-19 00:00:00,14.29,14384,United Kingdom
536039,21062,ASSORTED COLOUR BIRD ORNAMENT,2,2010-12-13 00:00:00,2.76,14487,United Kingdom
536040,21040,CHILLI LIGHTS,9,2010-12-06 00:00:00,0.8,17561,Netherlands
536041,21035,HEART OF WICKER SMALL,6,2011-01-11 00:00:00,13.06,13422,France
536041,21089,BLUE KALMIA CERAMIC MUG,3,2010-12-14 00:00:00,3.58,13321,Belgium
536042,21023,HEART OF WICKER SMALL,2,2010-12-19 00:00:00,13.06,16622,United Kingdom
536043,21051,FAIRY CAKE FLANNEL ASSORTED COLOUR,7,2010-12-15 00:00:00,4.91,15162,United Kingdom
536044,21015,JUMBO BAG RED RETROSPOT,3,2010-12-13 00:00:00,11.11,16842,United Kingdom
536045,21027,STRAWBERRY CERAMIC TRINKET POT,3,2011-06-01 00:00:00,1.34,13564,Portugal
536046,21038,REGENCY CAKESTAND 3 TIER,5,2011-02-01 00:00:00,14.29,15537,France
536047,21005,HANGING METAL LANTERN,1,2010-12-16 00:00:00,12.57,18241,Sweden
536048,21036,HANGING METAL LANTERN,4,2010-12-31 00:00:00,12.57,13406,Germany
536049,21072,RETROSPOT TEA SET CERAMIC 11 PC,1,2011-02-10 00:00:00,4.72,13646,Germany
536050,21089,CHILLI LIGHTS,1,2010-12-27 00:00:00,0.8,17788,United Kingdom
536050,21037,CHILLI LIGHTS,9,2010-12-25 00:00:00,0.8,13216,United Kingdom
536051,21086,HOME BUILDING BLOCK WORD,2,2011-01-10 00:00:00,9.22,12552,Switzerland
536052,21057,LUNCH BAG RED RETROSPOT,13,2011-01-24 00:00:00,2.76,17069,United Kingdom
536053,21009,CHOCOLATE HOT WATER BOTTLE,3,2010-12-16 00:00:00,6.76,16929,United Kingdom
536053,21038,HOME BUILDING BLOCK WORD,1,2010-12-17 00:00:00,9.22,16988,United Kingdom
536054,21051,REGENCY CAKESTAND 3 TIER,8,2010-12-27 00:00:00,14.29,15743,Switzerland
536054,21063,RETROSPOT TEA SET CERAMIC 11 PC,2,2011-02-12 00:00:00,4.72,14387,Germany
536054,21049,JUMBO BAG PINK POLKADOT,4,2010-12-06 00:00:00,8.11,16759,United Kingdom
536055,21087,HEART OF WICKER SMALL,3,2010-12-28 00:00:00,13.06,14411,Switzerland
536056,21018,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-20 00:00:00,4.91,15689,Belgium
536056,21038,JUMBO BAG PINK POLKADOT,3,2010-12-18 00:00:00,8.11,15296,United Kingdom
536057,21074,HEART OF WICKER SMALL,6,2011-02-26 00:00:00,13.06,15973,United Kingdom
536058,21067,JUMBO BAG PINK POLKADOT,7,2010-12-16 00:00:00,8.11,18073,Italy
536058,21008,PINK VINTAGE PAISLEY PICNIC BAG,3,2011-02-04 00:00:00,3.14,17145,Germany
536058,21037,BLUE KALMIA CERAMIC MUG,3,2011-01-19 00:00:00,3.58,13916,Spain
536058,21085,SET OF 3 MONOCHROME HEART MUGS,1,2010-12-31 00:00:00,3.16,14837,Portugal
536058,21069,PARTY BUNTING,4,2011-01-06 00:00:00,9.18,17557,United Kingdom
536059,21038,JUMBO BAG RED RETROSPOT,3,2010-12-10 00:00:00,11.11,18076,United Kingdom
536060,21081,HEART SHAPED DOUGHNUT,1,2011-03-21 00:00:00,14.56,14061,Italy
536061,21081,BLUE KALMIA CERAMIC MUG,2,2010-12-07 00:00:00,3.58,14068,United Kingdom
536061,21004,HANGING METAL LANTERN,2,2010-12-08 00:00:00,12.57,13367,France
536061,21041,LUNCH BAG RED RETROSPOT,1,2011-02-12 00:00:00,2.76,17832,Italy
C536061,21085,ASSORTED COLOUR BIRD ORNAMENT,6,2010-12-07 00:00:00,2.76,12992,United Kingdom
536061,21010,HEART OF WICKER SMALL,1,2010-12-31 00:00:00,13.06,17857,United Kingdom
536062,21051,BLUE KALMIA CERAMIC MUG,1,2010-12-06 00:00:00,3.58,16710,Belgium
536062,21039,CHILLI LIGHTS,2,2010-12-14 00:00:00,0.8,15296,United Kingdom
536063,21036,PINK VINTAGE PAISLEY PICNIC BAG,10,2010-12-05 00:00:00,3.14,15413,Italy
536064,21098,RETROSPOT TEA SET CERAMIC 11 PC,1,2010-12-21 00:00:00,4.72,14825,Sweden
536065,21042,HOME BUILDING BLOCK WORD,2,2010-12-16 00:00:00,9.22,15852,Germany
536066,21098,JUMBO BAG PINK POLKADOT,5,2011-01-05 00:00:00,8.11,17081,United Kingdom
536066,21047,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2011-03-01 00:00:00,4.91,13374,United Kingdom
536066,21080,CHOCOLATE HOT WATER BOTTLE,4,2011-01-19 00:00:00,6.76,16860,Spain
536067,21047,HEART SHAPED DOUGHNUT,1,2011-04-11 00:00:00,14.56,14387,Belgium
536067,21014,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-26 00:00:00,4.91,16236,Germany
